x;y;frequency;loc2;community structure;population ecology;species description;population genetic;environmental parameters;species adaptations;microbial composition;biogeochemical parameters;sediment;environmental modeling;geochemical parameters;physical parameters;geophysical parameters
130.4238051;-2.046102275;34;Indonesia;10;8;7;4;0;1;4;0;0;0;1;1;1
134.3978811;7.312113282;34;Palau;5;7;1;6;5;5;1;4;4;3;1;1;1
17.4768111;42.74440827;12;Croatia;2;5;0;0;2;1;0;3;1;0;2;1;0
107.1810792;20.90386043;6;Vietnam;4;0;1;0;0;0;1;0;1;0;0;0;0
-156.4138811;20.83138496;6;Hawai;1;1;1;2;0;0;0;0;0;1;0;1;0
-78.05022241;24.83181021;2;Bahamas;0;1;0;0;0;2;0;0;0;0;0;0;0
-64.75541556;32.30361072;2;Bermuda;1;0;0;0;1;0;0;0;0;0;0;1;0
178.997748;-16.75269778;1;Fiji;0;0;1;0;0;0;0;0;0;0;0;0;0
-81.54550213;24.63698433;1;Florida Keys;1;0;0;0;0;0;0;0;0;0;0;0;0
-9.130574394;53.21133361;1;Ireland;0;1;0;0;0;0;0;0;0;0;0;0;0
44.22864615;-19.26499371;1;Madagascar;0;0;1;0;0;0;0;0;0;0;0;0;0
-66.45967702;18.31982364;1;Puerto Rico;1;0;0;0;0;0;0;0;0;0;0;0;0
31.46186998;46.57209922;1;Ukraine;0;0;0;0;0;0;0;0;1;0;1;0;0
