x;y;freq;loc2;sponges;jellyfish;microbial community;community structure;water chemistry;plankton;invertebrates;mollusks;geophysical parameters;crustaceans;ecosystem description;sediment composition;environmental modeling;fish;biogeophysical parameters
-78.05022241;24.83181021;2;Bahamas;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
-64.75541556;32.30361072;2;Bermuda;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
17.4768111;42.74440827;12;Croatia;0;2;2;2;3;5;1;0;0;0;2;2;0;0;0
178.997748;-16.75269778;1;Fiji;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
-81.54550213;24.63698433;1;Florida Keys;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
-156.4138811;20.83138496;6;Hawai;0;0;0;1;0;0;0;0;0;4;0;0;1;0;0
130.4238051;-2.046102275;34;Indonesia;10;5;7;6;1;1;5;5;0;3;1;1;0;0;0
53.21133361;-9.130574394;1;Ireland;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
-19.26499371;44.22864615;1;Madagascar;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
134.3978811;7.312113282;34;Palau;0;9;4;2;6;0;2;1;5;1;1;2;2;2;1
-66.45967702;18.31982364;1;Puerto Rico;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
31.46186998;46.57209922;1;Ukraine;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
107.1810792;20.90386043;6;Vietnam;3;0;0;2;0;0;0;0;0;0;1;0;0;0;0
