year;location
2004;Indonesia
2015;Indonesia
1985;NA
2005;Hawai
2018;Indonesia
2020;Indonesia
1991;Palau
2009;Indonesia
2015;Croatia
2020;Indonesia
2011;Puerto Rico
2011;Florida Keys
2016;NA
2015;Croatia
2006;Palau
1991;Palau
2020;Indonesia
2020;Indonesia
1982;Palau
2016;Indonesia
1996;Palau
2018;Palau
2017;Croatia
2018;Indonesia
1989;Palau
2001;Palau
2019;Indonesia
2021;Ireland
2012;Croatia
2018;Indonesia
2006;Vietnam
2019;Palau
2011;NA
2020;Indonesia
2010;Indonesia
2011;NA
2017;Croatia
2019;Palau
2016;Palau
2016;Indonesia
2015;Vietnam
1993;Palau
2011;Palau
1993;Palau
2011;Palau
2017;NA
2010;Hawai
2020;Vietnam
2011;Palau
2019;Palau
2018;Croatia
2017;Palau
2017;Bahamas
1963;Hawai
1963;Madagascar
1963;Fiji
1963;Indonesia
2003;Palau
2016;Palau
2011;Indonesia
2010;NA
1988;Palau
2013;Palau
2011;Palau
2020;Palau
2020;Indonesia
2020;Croatia
2018;Indonesia
2021;Vietnam
2018;Indonesia
2014;Croatia
2019;Indonesia
2019;Croatia
1986;Bahamas
2020;NA
1991;Palau
2021;Hawai
2011;Croatia
2009;Croatia
1981;Palau
2013;Ukraine
2020;Vietnam
1982;Palau
2019;Indonesia
2020;Indonesia
2013;Indonesia
2016;Palau
1998;Palau
2005;Palau
2012;Palau
2009;Palau
2011;Palau
2015;Indonesia
2013;Indonesia
2013;Indonesia
2005;Palau
1973;Egypt
1973;Funafuti
1973;Hawai
1994;Indonesia
1996;Indonesia
1994;Indonesia
1996;Indonesia
2015;Indonesia
2009;Indonesia
2007;Vietnam
2009;Croatia
1995;Indonesia
2008;Hawai
1992;Bermuda
1991;Bermuda
